seconds_elapsed,z,y,x
70.29373584,-0.970124245,-1.899668574,0.530486822
70.30960522,-2.090435505,-1.73780036,0.506481588
70.32553516,-3.418318748,-1.402133822,0.945298254
70.34137402,-5.427822113,-0.970251322,1.498966694
70.35718188,-5.427664757,-0.239743471,1.677119732
70.37317334,-3.48681879,0.326423645,1.085561991
70.38895068,1.6043396,0.518839836,-0.605471194
70.40478955,5.411819458,0.370367527,0.332275212
70.42062793,4.467979431,0.519033194,1.794214249
70.43643628,2.428059578,1.323111773,1.731384516
70.45230518,3.2961483,1.905972242,0.983209789
70.4681438,6.820393562,2.080443382,0.590969801
70.48401294,12.19338799,2.864695787,-0.808652639
70.49979053,12.43479538,3.381768227,-4.407522202
70.51562939,6.119181633,2.647671223,-3.399500847
70.53152905,1.239002228,0.242470264,-0.743269861
70.54736743,0.355973244,-1.855613589,0.963209569
70.56326709,0.251192093,-3.371367455,2.382288933
70.57904492,-0.261281013,-3.936092854,3.176795721
70.5948833,-1.256917477,-3.886180401,2.860296249
70.61075244,-2.778189659,-3.575714588,1.884360433
70.62649951,-3.323502064,-3.144782782,1.068104148
70.64230786,-3.580879211,-2.914436102,0.53650713
70.65814624,-3.566681385,-2.721096992,0.064926937
70.67401538,-1.953806877,-2.411394596,0.037791684
70.68988477,-1.436442375,-2.048274994,-1.499128699
70.70572314,-2.257418156,-1.542927861,-3.463381767
70.7216228,-4.583057404,-1.422505498,-2.915154696
70.73736987,-6.246742725,-1.664943695,-0.914971828
70.7532085,-6.311727524,-1.733072639,-0.088869676
70.76907788,-3.628071785,-1.460747957,-0.048885107
70.78494702,-1.204414368,-0.824697256,-0.027014263
70.80084668,-0.755617142,-0.112128973,0.233562812
70.81671582,-2.505586624,0.709887505,0.383591771
70.83252368,-3.489606857,1.634656906,-0.261495382
70.84842334,-1.884902,1.485765457,-0.68215239
70.86417041,3.110187531,0.754375219,0.121818304
70.88007007,10.25423336,-0.518841743,1.472584963
70.89590894,13.28465748,-1.267644167,2.475933313
70.91174731,12.38959599,-0.598782301,3.212517023
70.92761646,8.103158951,0.362548351,3.090953827
70.94340137,3.019629478,0.238025665,0.665663123
70.95930103,1.402513504,-0.711518288,-1.502926111
70.97513989,3.200753212,-2.295404911,-2.596259594
70.99094775,5.36641407,-3.360979795,-2.048721552
71.00684741,4.655319214,-3.279523134,-0.925350904
71.022625,0.694070816,-2.50022006,-1.322498083
71.03852466,-3.793924809,-1.154114723,-2.09133935
71.05433301,-5.442704201,-1.176007986,-1.794690609
71.07014087,-5.117257595,-1.685783982,-0.962782204
71.08597974,-3.257930756,-2.490964651,-0.037223667
71.10184888,-0.60224247,-3.101120472,1.763287544
71.11771802,-0.217337608,-2.87823391,2.414079428
71.13349561,-1.611205578,-2.467280388,1.457803726
71.14930347,-3.583623886,-1.883396029,0.135442793
71.16508105,-4.980660915,-1.548351645,-0.696107864
71.18085889,-5.442877769,-1.15999651,-0.939294994
71.19672778,-5.938910484,-0.719749451,-0.153100848
71.21259692,-5.687264919,-0.29551816,0.849578559
71.22840527,-4.686752319,0.55911231,0.309645295
